n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
459,-3861,-3968,1,-4224,-6111,107
460,-3861,-3840,1,-4096,-6049,-21
461,-3683,-3968,0,-3968,-5984,285
462,-3683,-3840,1,-4096,-5925,157
463,-3502,-3712,1,-3968,-5864,210
464,-3502,-3584,1,-3840,-5801,82
465,-3319,-3456,1,-3712,-5736,137
466,-3319,-3328,1,-3584,-5669,9
467,-3135,-3200,1,-3456,-5600,65
468,-3135,-3072,1,-3328,-5529,-63
469,-2948,-3200,0,-3200,-5457,252
470,-2948,-3072,1,-3328,-5391,124
471,-2759,-2944,1,-3200,-5323,185
472,-2759,-2816,1,-3072,-5253,57
473,-2569,-2688,1,-2944,-5181,119
474,-2569,-2560,1,-2816,-5108,-9
475,-2378,-2688,0,-2688,-5033,310
476,-2378,-2560,1,-2816,-4964,182
477,-2185,-2432,1,-2688,-4893,247
478,-2185,-2304,1,-2560,-4821,119
479,-1990,-2176,1,-2432,-4747,186
480,-1990,-2048,1,-2304,-4671,58
481,-1795,-1920,1,-2176,-4594,125
482,-1795,-1792,1,-2048,-4515,-3
483,-1598,-1920,0,-1920,-4434,322
484,-1598,-1792,1,-2048,-4360,194
485,-1400,-1664,1,-1920,-4284,264
486,-1400,-1536,1,-1792,-4207,136
487,-1202,-1408,1,-1664,-4128,206
488,-1202,-1280,1,-1536,-4047,78
489,-1003,-1152,1,-1408,-3965,149
490,-1003,-1024,1,-1280,-3882,21
491,-803,-896,1,-1152,-3797,93
492,-803,-768,1,-1024,-3711,-35
493,-603,-896,0,-896,-3624,293
494,-603,-768,1,-1024,-3543,165
495,-402,-640,1,-896,-3461,238
496,-402,-512,1,-768,-3377,110
497,-201,-384,1,-640,-3292,183
498,0,-256,1,-512,-3206,256
499,0,-128,1,-384,-3118,128
500,201,0,1,-256,-3029,201
501,201,128,1,-128,-2939,73
502,402,256,1,0,-2848,146
503,402,384,1,128,-2755,18
504,603,512,1,256,-2661,91
505,603,640,1,384,-2566,-37
506,803,512,0,512,-2470,291
507,803,640,1,384,-2381,163
508,1003,768,1,512,-2291,235
509,1003,896,1,640,-2200,107
510,1202,1024,1,768,-2108,178
511,1202,1152,1,896,-2015,50
512,1400,1280,1,1024,-1921,120
513,1400,1408,1,1152,-1825,-8
514,1598,1280,0,1280,-1728,318
515,1598,1408,1,1152,-1638,190
516,1795,1536,1,1280,-1547,259
517,1795,1664,1,1408,-1455,131
518,1990,1792,1,1536,-1362,198
519,1990,1920,1,1664,-1268,70
520,2185,2048,1,1792,-1173,137
521,2185,2176,1,1920,-1077,9
522,2378,2304,1,2048,-980,74
523,2378,2432,1,2176,-882,-54
524,2569,2304,0,2304,-783,265
525,2569,2432,1,2176,-691,137
526,2759,2560,1,2304,-598,199
527,2759,2688,1,2432,-504,71
528,2948,2816,1,2560,-409,132
529,2948,2944,1,2688,-313,4
530,3135,3072,1,2816,-216,63
531,3135,3200,1,2944,-118,-65
532,3319,3072,0,3072,-19,247
533,3319,3200,1,2944,73,119
534,3502,3328,1,3072,166,174
535,3502,3456,1,3200,260,46
536,3683,3584,1,3328,355,99
537,3683,3712,1,3456,451,-29
538,3861,3584,0,3584,548,277
539,3861,3712,1,3456,638,149
540,4037,3840,1,3584,730,197
541,4211,3968,1,3712,823,243
542,4211,4096,1,3840,917,115
543,4382,4224,1,3968,1012,158
544,4382,4352,1,4096,1108,30
545,4551,4480,1,4224,1205,71
546,4551,4608,1,4352,1303,-57
547,4716,4480,0,4480,1402,236
548,4716,4608,1,4352,1494,108
549,4879,4736,1,4480,1587,143
550,4879,4864,1,4608,1681,15
